State,District,Year,Month,predicted_risk
Andhra Pradesh,Guntur,2020,1,0.3583771
Andhra Pradesh,Guntur,2020,1,0.33434093
Andhra Pradesh,Guntur,2020,2,0.26293522
Andhra Pradesh,Guntur,2020,2,0.20993835
Andhra Pradesh,Guntur,2020,2,0.19596231
Andhra Pradesh,Guntur,2020,2,0.16797026
Andhra Pradesh,Guntur,2020,2,0.099261336
Andhra Pradesh,Guntur,2020,3,0.07070922
Andhra Pradesh,Guntur,2020,3,0.025390346
Andhra Pradesh,Guntur,2020,3,0.030553596
Andhra Pradesh,Guntur,2020,3,0.03686393
Andhra Pradesh,Guntur,2020,3,0.037752554
Andhra Pradesh,Guntur,2020,4,0.041702095
Andhra Pradesh,Guntur,2020,4,0.05038425
Andhra Pradesh,Guntur,2020,4,0.072313376
Andhra Pradesh,Guntur,2020,4,0.0965356
Andhra Pradesh,Guntur,2020,4,0.10868676
Andhra Pradesh,Guntur,2020,5,0.050284814
Andhra Pradesh,Guntur,2020,5,0.050777685
Andhra Pradesh,Guntur,2020,5,0.0653251
Andhra Pradesh,Guntur,2020,5,0.074834086
Andhra Pradesh,Guntur,2020,5,0.100074634
Andhra Pradesh,Guntur,2020,6,0.03629872
Andhra Pradesh,Guntur,2020,6,0.030083602
Andhra Pradesh,Guntur,2020,6,0.029514516
Andhra Pradesh,Guntur,2020,6,0.030840863
Andhra Pradesh,Guntur,2020,6,0.029486135
Andhra Pradesh,Guntur,2020,7,0.026423454
Andhra Pradesh,Guntur,2020,7,0.03193273
Andhra Pradesh,Guntur,2020,7,0.031521764
Andhra Pradesh,Guntur,2020,7,0.031557314
Andhra Pradesh,Guntur,2020,7,0.031557314
Andhra Pradesh,Guntur,2020,8,0.033137273
Andhra Pradesh,Guntur,2020,8,0.029363602
Andhra Pradesh,Guntur,2020,8,0.030069292
Andhra Pradesh,Guntur,2020,8,0.02988225
Andhra Pradesh,Guntur,2020,8,0.02988225
Andhra Pradesh,Guntur,2020,9,0.03229817
Andhra Pradesh,Guntur,2020,9,0.03278723
Andhra Pradesh,Guntur,2020,9,0.033362925
Andhra Pradesh,Guntur,2020,9,0.0330408
